Actor1Code,Actor1Name,Actor1Type1Code,Actor1CountryCode,Actor2Code,Actor2Name,Actor2Type1Code,Actor2CountryCode,YearMin,YearMax,EventCode,consolidatedAvgTone,eventCount
USAGOV,UNITED STATES,GOV,USA,USABUS,UNITED STATES,BUS,USA,1987,2016,057,1.8820771327056591,14
INDGOV,CHHATTISGARH,GOV,IND,CHNBUS,CHINESE,BUS,CHN,2016,2016,057,0.33500837520938,1
IRNGOV,IRAN,GOV,IRN,IRNBUS,IRANIAN,BUS,IRN,2016,2016,112,-0.595238095238095,1
EGYGOVBUS,EGYPT,GOV,EGY,EGYBUS,EGYPT,BUS,EGY,2015,2015,057,-1.08695652173913,1
VNMGOV,NGUYEN TAN DUNG,GOV,VNM,VNMGOVBUS,VIET NAM,GOV,VNM,2015,2015,051,0.225352112676057,1
LBNGOVBUS,MOHAMMAD SAFADI,GOV,LBN,LBNGOVBUSGOVMED,GHAZI ARIDI,GOV,LBN,2011,2011,111,0.694444444444444,1
TGOGOV,TOGOLESE,GOV,TGO,IGOWAFBUSWAS,ECOWAS,IGO,WAF,2003,2005,111,1.5764715428405487,2
ZAFGOV,WESTERN CAPE,GOV,ZAF,KENBUS,KENYA,BUS,KEN,2016,2016,051,0.17341040462427798,1
DEUGOV,ANGELA MERKEL,GOV,DEU,DEUBUS,GERMAN,BUS,DEU,2015,2015,113,0.76923076923077,1
AGOGOVMED,ANGOLA,GOV,AGO,CHNBUS,CHINESE,BUS,CHN,2014,2014,057,0.6095207991729067,2
EURGOVBUS,EUROPEAN,GOV,EUR,GRCBUS,GREEK,BUS,GRC,2010,2015,051,-0.05967014562452683,37
AUTGOV,AUSTRIA,GOV,AUT,AUTBUS,AUSTRIAN,BUS,AUT,2008,2015,051,-0.08668827111911001,2
USAGOV,UNITED STATES,GOV,USA,USAGOVBUS,UNITED STATES,GOV,USA,2007,2015,051,1.744080641067478,2
GBRGOV,BRITAIN,GOV,GBR,GBRGOVBUS,PHILIP HAMMOND,GOV,GBR,2015,2015,051,0.08903133903133982,1
RUSGOV,RUSSIAN,GOV,RUS,MYSBUS,MALAYSIAN,BUS,MYS,2014,2014,051,0.24542378915005725,5
CHNGOV,CHINESE,GOV,CHN,SAUBUS,SAUDI,BUS,SAU,2002,2002,050,0.930232558139535,1
ZWEGOV,ROBERT MUGABE,GOV,ZWE,GHABUS,GHANAIAN,BUS,GHA,2013,2014,112,0.18907906101704894,8
LVAGOV,VALDIS DOMBROVSKIS,GOV,LVA," IGOWSTBUS",ORGANISATION FOR ECONOMIC COOPERATION AND DEVELOPMENT,IGO,WST,2013,2013,051,1.388429752066116,3
USAGOV,NASA,GOV,USA,RUSBUS,RUSSIAN,BUS,RUS,2007,2007,057,0.40412010468865245,5
FRAGOV,FRANCE,GOV,FRA,FRABUS,FRENCH,BUS,FRA,2012,2012,111,3.5320088300220664,1
USAGOV,OBAMA,GOV,USA," USABUS",UNITED STATES,BUS,USA,2013,2013,051,0.24344144921114855,3
ZWEGOV,ZIMBABWE,GOV,ZWE,ZWEGOVBUS,ZIMBABWE,GOV,ZWE,2006,2006,051,0.8130081300813011,1
LBRGOV,LIBERIAN,GOV,LBR,IGOWAFBUSWAS,ECOWAS,IGO,WAF,1990,2000,114,0.3276558669175052,4
